,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France,France
2010-01-08,16,0,0.0,16,0,0.0,16,0,0.0,16,0,0.0,16,0,0.0,16,0,0.0,16,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,78,0,0.0,78,1,0.01282051282051282,78,0,0.0,78,0,0.0,78,0,0.0,78,0,0.0,78,0,0.0
2010-01-09,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0
2010-01-10,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,53,0,0.0,53,0,0.0,53,0,0.0,53,0,0.0,53,0,0.0,53,0,0.0,53,0,0.0
2010-01-11,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,12,0,0.0,12,0,0.0,12,0,0.0,12,0,0.0,12,0,0.0,12,0,0.0,12,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0
2010-01-12,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,19,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,6,0,0.0,67,0,0.0,67,0,0.0,67,0,0.0,67,0,0.0,67,0,0.0,67,0,0.0,67,0,0.0
2010-01-13,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,91,0,0.0,91,0,0.0,91,0,0.0,91,0,0.0,91,0,0.0,91,0,0.0,91,0,0.0
2010-01-14,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,79,0,0.0,79,0,0.0,79,0,0.0,79,0,0.0,79,0,0.0,79,0,0.0,79,0,0.0
2010-01-15,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0
2010-01-16,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,3,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0,44,0,0.0
2010-01-17,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,15,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0,46,0,0.0
2010-01-18,32,0,0.0,32,0,0.0,32,0,0.0,32,0,0.0,32,0,0.0,32,0,0.0,32,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0,80,0,0.0
2010-01-19,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,23,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,71,0,0.0,71,0,0.0,71,0,0.0,71,0,0.0,71,0,0.0,71,0,0.0,71,0,0.0
2010-01-20,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,83,0,0.0,83,0,0.0,83,0,0.0,83,0,0.0,83,0,0.0,83,0,0.0,83,0,0.0
2010-01-21,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,26,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,10,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0,77,0,0.0
2010-01-22,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,82,0,0.0,82,0,0.0
2010-01-23,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,49,0,0.0,49,0,0.0,49,0,0.0,49,0,0.0,49,0,0.0,49,0,0.0,49,0,0.0
2010-01-24,21,0,0.0,21,0,0.0,21,0,0.0,21,0,0.0,21,0,0.0,21,0,0.0,21,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,36,0,0.0,36,0,0.0,36,0,0.0,36,0,0.0,36,0,0.0,36,0,0.0,36,0,0.0
2010-01-25,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,88,0,0.0,88,0,0.0,88,0,0.0,88,0,0.0,88,0,0.0,88,0,0.0,88,0,0.0
2010-01-26,20,0,0.0,20,0,0.0,20,0,0.0,20,0,0.0,20,0,0.0,20,0,0.0,20,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,75,0,0.0,75,0,0.0,75,0,0.0,75,0,0.0,75,0,0.0,75,0,0.0,75,0,0.0
2010-01-27,28,0,0.0,28,0,0.0,28,0,0.0,28,0,0.0,28,0,0.0,28,0,0.0,28,0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,11,0,0.0,96,0,0.0,96,0,0.0,96,0,0.0,96,0,0.0,96,0,0.0,96,0,0.0,96,0,0.0
2010-01-28,25,0,0.0,25,0,0.0,25,0,0.0,25,0,0.0,25,0,0.0,25,0,0.0,25,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,7,0,0.0,102,0,0.0,102,0,0.0,102,0,0.0,102,0,0.0,102,0,0.0,102,0,0.0,102,0,0.0
2010-01-29,31,0,0.0,31,0,0.0,31,0,0.0,31,0,0.0,31,0,0.0,31,0,0.0,31,0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,9,0,0.0,83,1,0.012048192771084338,83,1,0.012048192771084338,83,0,0.0,83,1,0.012048192771084338,83,0,0.0,83,0,0.0,83,0,0.0
2010-01-30,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,8,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,34,0,0.0,34,0,0.0,34,0,0.0,34,0,0.0,34,0,0.0,34,0,0.0,34,0,0.0
2010-01-31,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,17,0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,5,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0,24,0,0.0
2010-02-01,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,30,0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,13,0,0.0,55,0,0.0,55,0,0.0,55,0,0.0,55,0,0.0,55,0,0.0,55,0,0.0,55,0,0.0
