,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Germany,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Austria,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,France,France,France,France,France,France,France,France,France,France,France,France
8,tigermücken,97,0.097,97,0.097,1000,mücken,91,0.091,91,0.091,1000,tigermücke,48,0.048,48,0.048,1000,klimawandel,28,0.0514,28,0.0514,545,schweiz,59,0.059,59,0.059,1000,klimawandel,15,0.0437,15,0.0437,343,italia,109,0.109,109,0.109,1000,zanzara,84,0.084,84,0.084,1000,chikungunya,124,0.124,124,0.124,1000,casos,103,0.103,103,0.103,1000,virus,110,0.11,110,0.11,1000,moustique,91,0.091,90,0.09,1000
9,breitet,93,0.093,93,0.093,1000,infektion,85,0.085,85,0.085,1000,österreich,46,0.046,46,0.046,1000,fälle,24,0.044,24,0.044,545,chikungunya,56,0.056,56,0.056,1000,grössten,15,0.0437,15,0.0437,343,disinfestazione,98,0.098,98,0.098,1000,morti,63,0.063,63,0.063,1000,sanidad,72,0.072,72,0.072,1000,fiebre,102,0.102,102,0.102,1000,moustiques,85,0.085,85,0.085,1000,chikungunya,84,0.084,84,0.084,1000
10,dengue,87,0.087,87,0.087,1000,infektionen,82,0.082,82,0.082,1000,impfstoff,41,0.041,41,0.041,1000,griechenland,22,0.0404,22,0.0404,545,cas,46,0.046,46,0.046,1000,italien,13,0.0379,13,0.0379,343,tigre,95,0.095,95,0.095,1000,allarme,54,0.054,54,0.054,1000,alerta,71,0.071,71,0.071,1000,españa,98,0.098,98,0.098,1000,vigilance,58,0.058,58,0.058,1000,dengue,83,0.083,83,0.083,1000
11,chikungunya,77,0.077,77,0.077,1000,griechenland,75,0.075,75,0.075,1000,gelsen,39,0.039,39,0.039,1000,mücken,21,0.0385,21,0.0385,545,fälle,34,0.034,34,0.034,1000,breitet,13,0.0379,13,0.0379,343,rischio,66,0.066,66,0.066,1000,usutu,51,0.051,51,0.051,1000,riesgo,65,0.065,65,0.065,1000,alerta,91,0.091,90,0.09,1000,départements,53,0.053,53,0.053,1000,santé,75,0.075,75,0.075,1000
12,fieber,70,0.07,70,0.07,1000,vogel,66,0.066,66,0.066,1000,fälle,37,0.037,37,0.037,1000,italien,20,0.0367,20,0.0367,545,asiatische,33,0.033,33,0.033,1000,viren,13,0.0379,13,0.0379,343,west,64,0.064,64,0.064,1000,veneto,49,0.049,49,0.049,1000,enfermedades,63,0.063,63,0.063,1000,mosquito,89,0.089,89,0.089,1000,autochtone,40,0.04,40,0.04,1000,tigre,58,0.058,58,0.058,1000
13,fälle,69,0.069,69,0.069,1000,fälle,59,0.059,59,0.059,1000,erstmals,36,0.036,36,0.036,1000,gefährliche,19,0.0349,19,0.0349,545,mücken,30,0.03,30,0.03,1000,europa,13,0.0379,13,0.0379,343,nile,64,0.064,64,0.064,1000,disinfestazione,43,0.043,43,0.043,1000,brote,62,0.062,62,0.062,1000,confirma,79,0.079,79,0.079,1000,métropolitaine,38,0.038,38,0.038,1000,détecté,54,0.054,54,0.054,1000
14,krankheiten,67,0.067,67,0.067,1000,rki,58,0.058,58,0.058,1000,tote,36,0.036,36,0.036,1000,zika,19,0.0349,19,0.0349,545,moustiques,30,0.03,30,0.03,1000,mücke,13,0.0379,13,0.0379,343,allarme,61,0.061,61,0.061,1000,vittima,40,0.04,40,0.04,1000,caso,58,0.058,58,0.058,1000,presencia,76,0.076,76,0.076,1000,métropole,37,0.037,37,0.037,1000,été,53,0.053,52,0.052,1000
15,gefahr,62,0.062,62,0.062,1000,warnt,55,0.055,55,0.055,1000,breitet,35,0.035,35,0.035,1000,gelsenplage,18,0.033,18,0.033,545,suisse,28,0.028,28,0.028,1000,blut,13,0.0379,13,0.0379,343,brasile,60,0.06,60,0.06,1000,lazio,37,0.037,37,0.037,1000,oms,58,0.058,58,0.058,1000,mujer,61,0.061,61,0.061,1000,rouge,37,0.037,37,0.037,1000,maladies,49,0.049,49,0.049,1000
16,übertragen,60,0.06,60,0.06,1000,fall,54,0.054,54,0.054,1000,tigermücken,30,0.03,30,0.03,1000,hitze,17,0.0312,17,0.0312,545,erstmals,25,0.025,25,0.025,1000,vögel,13,0.0379,13,0.0379,343,europa,51,0.051,51,0.051,1000,sangue,34,0.034,34,0.034,1000,europa,56,0.056,56,0.056,1000,detectan,61,0.061,61,0.061,1000,maladies,35,0.035,35,0.035,1000,autochtones,49,0.049,49,0.049,1000
17,viren,53,0.053,53,0.053,1000,gefährliches,52,0.052,52,0.052,1000,schwangere,30,0.03,30,0.03,1000,schon,16,0.0294,16,0.0294,545,epidemie,23,0.023,23,0.023,1000,gesundheit,12,0.035,12,0.035,343,veneto,51,0.051,51,0.051,1000,morto,33,0.033,33,0.033,1000,expansión,42,0.042,42,0.042,1000,detectado,61,0.061,61,0.061,1000,transmission,34,0.034,34,0.034,1000,usutu,48,0.048,48,0.048,1000
18,ausbreitung,50,0.05,50,0.05,1000,gefährlich,49,0.049,49,0.049,1000,mücken,29,0.029,28,0.028,1000,hochwasser,16,0.0294,16,0.0294,545,brasilien,23,0.023,23,0.023,1000,tessin,11,0.0321,11,0.0321,343,malattie,47,0.047,47,0.047,1000,sintomi,31,0.031,31,0.031,1000,peligrosos,41,0.041,41,0.041,1000,cádiz,59,0.059,59,0.059,1000,alerte,33,0.033,33,0.033,1000,métropole,46,0.046,46,0.046,1000
19,gefährlich,48,0.048,48,0.048,1000,deutschem,42,0.042,42,0.042,1000,fall,26,0.026,26,0.026,1000,breitet,14,0.0257,14,0.0257,545,basel,23,0.023,23,0.023,1000,fieber,10,0.0292,10,0.0292,343,scatta,38,0.038,38,0.038,1000,padova,31,0.031,31,0.031,1000,verano,38,0.038,38,0.038,1000,municipios,55,0.055,55,0.055,1000,tigres,30,0.03,30,0.03,1000,var,45,0.045,45,0.045,1000
20,west,46,0.046,46,0.046,1000,meldet,42,0.042,42,0.042,1000,kampf,26,0.026,26,0.026,1000,wintervogelzählung,14,0.0257,14,0.0257,545,genève,21,0.021,21,0.021,1000,krankheiten,10,0.0292,10,0.0292,343,sintomi,34,0.034,34,0.034,1000,dengue,29,0.029,29,0.029,1000,presencia,35,0.035,35,0.035,1000,huelva,54,0.054,54,0.054,1000,autochtones,29,0.029,29,0.029,1000,zika,43,0.043,43,0.043,1000
21,nil,46,0.046,46,0.046,1000,blutspenden,42,0.042,42,0.042,1000,usa,26,0.026,26,0.026,1000,gestorben,13,0.0239,13,0.0239,545,nachgewiesen,20,0.02,20,0.02,1000,spenden,10,0.0292,10,0.0292,343,via,29,0.029,29,0.029,1000,donna,27,0.027,27,0.027,1000,picarnos,35,0.035,35,0.035,1000,riesgo,54,0.054,54,0.054,1000,var,29,0.029,29,0.029,1000,sud,42,0.042,42,0.042,1000
22,neuer,43,0.043,43,0.043,1000,2022,41,0.041,41,0.041,1000,ausbreitung,25,0.025,25,0.025,1000,vormarsch,12,0.022,12,0.022,545,welt,20,0.02,20,0.02,1000,schlagen,10,0.0292,10,0.0292,343,autoctono,27,0.027,27,0.027,1000,allerta,26,0.026,26,0.026,1000,enfermedad,31,0.031,31,0.031,1000,amenaza,50,0.05,50,0.05,1000,paris,28,0.028,28,0.028,1000,qu'est,31,0.031,31,0.031,1000
23,bringt,41,0.041,41,0.041,1000,subtropen,40,0.04,40,0.04,1000,klimawandel,24,0.024,24,0.024,1000,heuer,12,0.022,12,0.022,545,europa,19,0.019,19,0.019,1000,verbreitet,9,0.0262,9,0.0262,343,rischi,24,0.024,24,0.024,1000,ricoverato,25,0.025,25,0.025,1000,síntomas,31,0.031,31,0.031,1000,circulación,49,0.049,49,0.049,1000,risque,27,0.027,27,0.027,1000,détectés,30,0.03,30,0.03,1000
24,krankheitsüberträger,41,0.041,41,0.041,1000,stirbt,36,0.036,36,0.036,1000,infiziert,22,0.022,22,0.022,1000,stechmücken,12,0.022,12,0.022,545,breitet,19,0.019,19,0.019,1000,mira,9,0.0262,9,0.0262,343,difendersi,23,0.023,23,0.023,1000,malattie,25,0.025,25,0.025,1000,calor,30,0.03,30,0.03,1000,extremadura,45,0.045,45,0.045,1000,attention,27,0.027,27,0.027,1000,sang,27,0.027,27,0.027,1000
25,hunderte,40,0.04,40,0.04,1000,übertragen,35,0.035,35,0.035,1000,rio,20,0.02,20,0.02,1000,kohlmeise,12,0.022,12,0.022,545,kampf,19,0.019,19,0.019,1000,furlan,9,0.0262,9,0.0262,343,contagio,23,0.023,23,0.023,1000,europa,25,0.025,25,0.025,1000,espaã±a,29,0.029,29,0.029,1000,detecta,42,0.042,42,0.042,1000,surveillance,26,0.026,26,0.026,1000,hausse,26,0.026,26,0.026,1000
26,tier,40,0.04,40,0.04,1000,corona,35,0.035,35,0.035,1000,moskitos,20,0.02,20,0.02,1000,nachgewiesen,11,0.0202,11,0.0202,545,mücke,19,0.019,19,0.019,1000,70'000,9,0.0262,9,0.0262,343,tropicali,22,0.022,22,0.022,1000,rischio,25,0.025,25,0.025,1000,detectan,28,0.028,28,0.028,1000,transmisores,41,0.041,41,0.041,1000,face,23,0.023,23,0.023,1000,transmis,25,0.025,25,0.025,1000
27,rekord,40,0.04,40,0.04,1000,entdeckt,33,0.033,33,0.033,1000,stechmücken,19,0.019,19,0.019,1000,infektionen,11,0.0202,11,0.0202,545,zürich,18,0.018,18,0.018,1000,welt,9,0.0262,9,0.0262,343,viaggio,21,0.021,21,0.021,1000,scatta,24,0.024,24,0.024,1000,importados,28,0.028,28,0.028,1000,peligro,40,0.04,40,0.04,1000,europe,22,0.022,22,0.022,1000,d'infection,23,0.023,23,0.023,1000
28,erstmals,39,0.039,39,0.039,1000,tropenkrankheit,33,0.033,33,0.033,1000,forscher,19,0.019,19,0.019,1000,zoonosen,11,0.0202,11,0.0202,545,rio,18,0.018,18,0.018,1000,meiden,9,0.0262,9,0.0262,343,paesi,21,0.021,21,0.021,1000,provincia,24,0.024,24,0.024,1000,aumentan,27,0.027,27,0.027,1000,identifica,37,0.037,37,0.037,1000,présent,22,0.022,22,0.022,1000,l'hexagone,21,0.021,21,0.021,1000
29,aedes,39,0.039,39,0.039,1000,sicherheit,33,0.033,33,0.033,1000,krankheiten,18,0.018,18,0.018,1000,zecken,11,0.0202,11,0.0202,545,ausbruch,18,0.018,18,0.018,1000,blutsauger,9,0.0262,9,0.0262,343,vaccino,21,0.021,21,0.021,1000,lombardia,21,0.021,21,0.021,1000,confirma,27,0.027,27,0.027,1000,transmite,36,0.036,36,0.036,1000,détecté,21,0.021,21,0.021,1000,l'année,19,0.019,19,0.019,1000
30,welt,39,0.039,39,0.039,1000,tropenvirus,32,0.032,32,0.032,1000,schon,18,0.018,18,0.018,1000,malaria,11,0.0202,11,0.0202,545,tessin,17,0.017,17,0.017,1000,moustiques,9,0.0262,9,0.0262,343,lotta,21,0.021,21,0.021,1000,l'allarme,20,0.02,20,0.02,1000,salud,26,0.026,26,0.026,1000,estudio,36,0.036,36,0.036,1000,faut,20,0.02,20,0.02,1000,don,19,0.019,19,0.019,1000
31,tropische,38,0.038,38,0.038,1000,angekommen,30,0.03,30,0.03,1000,infektionen,18,0.018,18,0.018,1000,gesundheit,11,0.0202,11,0.0202,545,impfstoff,17,0.017,17,0.017,1000,2018,8,0.0233,8,0.0233,343,l'allarme,19,0.019,19,0.019,1000,sanità,20,0.02,20,0.02,1000,transmisión,25,0.025,25,0.025,1000,junta,29,0.029,29,0.029,1000,protéger,20,0.02,20,0.02,1000,fièvre,18,0.018,18,0.018,1000
32,forscher,38,0.038,38,0.038,1000,krankheiten,29,0.029,29,0.029,1000,asiatische,18,0.018,18,0.018,1000,tigermücke,10,0.0183,10,0.0183,545,gefährlich,15,0.015,15,0.015,1000,stark,8,0.0233,8,0.0233,343,oms,18,0.018,18,0.018,1000,tigre,20,0.02,20,0.02,1000,año,25,0.025,25,0.025,1000,años,29,0.029,29,0.029,1000,montpellier,20,0.02,20,0.02,1000,recensés,18,0.018,18,0.018,1000
33,experten,37,0.037,37,0.037,1000,forscher,28,0.028,28,0.028,1000,ausbruch,18,0.018,18,0.018,1000,krankheiten,9,0.0165,9,0.0165,545,erobert,15,0.015,15,0.015,1000,verbreiten,8,0.0233,8,0.0233,343,sospetto,18,0.018,18,0.018,1000,gravi,20,0.02,20,0.02,1000,evitar,23,0.023,23,0.023,1000,tigre,29,0.029,29,0.029,1000,été,19,0.019,19,0.019,1000,europe,18,0.018,18,0.018,1000
34,italien,37,0.037,37,0.037,1000,europa,27,0.027,27,0.027,1000,notstand,17,0.017,17,0.017,1000,viren,9,0.0165,9,0.0165,545,überwachung,14,0.014,14,0.014,1000,krank,8,0.0233,8,0.0233,343,cos'è,18,0.018,18,0.018,1000,sardegna,19,0.019,19,0.019,1000,galicia,23,0.023,23,0.023,1000,dengue,28,0.028,28,0.028,1000,région,18,0.018,18,0.018,1000,autochtone,18,0.018,18,0.018,1000
35,eu,36,0.036,36,0.036,1000,neues,27,0.027,27,0.027,1000,sex,16,0.016,16,0.016,1000,blut,9,0.0165,9,0.0165,545,blutsauger,14,0.014,14,0.014,1000,angeles,8,0.0233,8,0.0233,343,trasmette,17,0.017,17,0.017,1000,cos'è,18,0.018,18,0.018,1000,china,23,0.023,23,0.023,1000,declara,28,0.028,28,0.028,1000,lutte,18,0.018,18,0.018,1000,gironde,17,0.017,17,0.017,1000
36,übertragenen,33,0.033,33,0.033,1000,tropenmediziner,27,0.027,27,0.027,1000,graz,16,0.016,16,0.016,1000,amseln,8,0.0147,8,0.0147,545,who,13,0.013,13,0.013,1000,schauspielerin,8,0.0233,8,0.0233,343,nilo,17,0.017,17,0.017,1000,salgono,18,0.018,18,0.018,1000,medidas,23,0.023,23,0.023,1000,usutu,27,0.027,27,0.027,1000,nombre,18,0.018,18,0.018,1000,alpes,17,0.017,17,0.017,1000
37,tropenkrankheit,32,0.032,32,0.032,1000,region,26,0.026,26,0.026,1000,olympia,16,0.016,16,0.016,1000,wien,8,0.0147,8,0.0147,545,zahl,13,0.013,13,0.013,1000,gestorben,8,0.0233,8,0.0233,343,c'è,17,0.017,17,0.017,1000,ricoverati,18,0.018,18,0.018,1000,vigilancia,23,0.023,23,0.023,1000,alto,27,0.027,27,0.027,1000,démoustication,17,0.017,17,0.017,1000,mai,17,0.017,17,0.017,1000
38,reisende,31,0.031,31,0.031,1000,mückenstich,26,0.026,26,0.026,1000,wien,15,0.015,15,0.015,1000,eu,8,0.0147,8,0.0147,545,lateinamerika,13,0.013,13,0.013,1000,gefahr,8,0.0233,8,0.0233,343,salgono,17,0.017,17,0.017,1000,contagio,18,0.018,18,0.018,1000,municipios,22,0.022,22,0.022,1000,aumenta,26,0.026,26,0.026,1000,transmis,17,0.017,17,0.017,1000,mort,16,0.016,16,0.016,1000
39,warnt,31,0.031,31,0.031,1000,gestorben,24,0.024,24,0.024,1000,italien,15,0.015,15,0.015,1000,clark,8,0.0147,8,0.0147,545,infiziert,13,0.013,13,0.013,1000,fast,8,0.0233,8,0.0233,343,nuova,16,0.016,16,0.016,1000,morta,18,0.018,18,0.018,1000,aumentado,21,0.021,21,0.021,1000,picaduras,26,0.026,26,0.026,1000,chasse,17,0.017,17,0.017,1000,humain,15,0.015,15,0.015,1000
40,tödlichstes,31,0.031,31,0.031,1000,urlaubsregion,24,0.024,24,0.024,1000,mikrozephalie,15,0.015,15,0.015,1000,middleton,8,0.0147,8,0.0147,545,forscher,13,0.013,13,0.013,1000,asiatische,8,0.0233,8,0.0233,343,arriva,16,0.016,16,0.016,1000,roma,18,0.018,18,0.018,1000,embarazadas,21,0.021,21,0.021,1000,aumento,26,0.026,26,0.026,1000,l'été,17,0.017,17,0.017,1000,nouvelle,15,0.015,15,0.015,1000
41,gardasee,30,0.03,30,0.03,1000,todesopfer,24,0.024,24,0.024,1000,warnt,14,0.014,14,0.014,1000,wintervögel,8,0.0147,8,0.0147,545,lutte,13,0.013,13,0.013,1000,meisen,8,0.0233,8,0.0233,343,presente,16,0.016,16,0.016,1000,muore,18,0.018,18,0.018,1000,temperaturas,21,0.021,21,0.021,1000,temporada,26,0.026,26,0.026,1000,vaccin,17,0.017,17,0.017,1000,faut,14,0.014,14,0.014,1000
42,spanien,29,0.029,29,0.029,1000,hotspots,24,0.024,24,0.024,1000,kolumbien,14,0.014,14,0.014,1000,bedroht,7,0.0128,7,0.0128,545,jo,13,0.013,13,0.013,1000,atemnot,8,0.0233,8,0.0233,343,salute,16,0.016,16,0.016,1000,caldo,17,0.017,17,0.017,1000,covid,20,0.02,20,0.02,1000,transmisor,25,0.025,25,0.025,1000,appelle,16,0.016,16,0.016,1000,protéger,14,0.014,14,0.014,1000
43,who,26,0.026,26,0.026,1000,schon,23,0.023,23,0.023,1000,ruft,14,0.014,14,0.014,1000,warnung,7,0.0128,7,0.0128,545,locarno,12,0.012,12,0.012,1000,gelähmte,8,0.0233,8,0.0233,343,prevenzione,16,0.016,16,0.016,1000,contagi,17,0.017,17,0.017,1000,exóticas,20,0.02,20,0.02,1000,síntomas,25,0.025,25,0.025,1000,importés,16,0.016,16,0.016,1000,nombre,14,0.014,14,0.014,1000
44,behörde,26,0.026,26,0.026,1000,dutzende,23,0.023,23,0.023,1000,millionen,14,0.014,14,0.014,1000,todesfälle,7,0.0128,7,0.0128,545,schaffhausen,12,0.012,12,0.012,1000,tauben,8,0.0233,8,0.0233,343,lombardia,16,0.016,16,0.016,1000,test,17,0.017,17,0.017,1000,contagio,20,0.02,20,0.02,1000,infección,25,0.025,25,0.025,1000,sud,16,0.016,16,0.016,1000,maritimes,14,0.014,14,0.014,1000
45,überträgt,25,0.025,25,0.025,1000,maßnahmen,23,0.023,23,0.023,1000,philippinen,14,0.014,14,0.014,1000,serbien,7,0.0128,7,0.0128,545,krankheiten,12,0.012,12,0.012,1000,stare,8,0.0233,8,0.0233,343,esperti,16,0.016,16,0.016,1000,c'è,16,0.016,16,0.016,1000,confirmados,20,0.02,20,0.02,1000,transmisión,24,0.024,24,0.024,1000,moitié,15,0.015,15,0.015,1000,chevaux,14,0.014,14,0.014,1000
46,infektion,25,0.025,25,0.025,1000,neu,23,0.023,23,0.023,1000,gesundheitsnotstand,13,0.013,13,0.013,1000,infektion,7,0.0128,7,0.0128,545,erfolgreich,12,0.012,12,0.012,1000,überträgerin,8,0.0233,8,0.0233,343,clima,15,0.015,15,0.015,1000,decessi,16,0.016,16,0.016,1000,llegar,20,0.02,20,0.02,1000,vejer,23,0.023,23,0.023,1000,menace,14,0.014,14,0.014,1000,000,14,0.014,14,0.014,1000
47,alarm,25,0.025,25,0.025,1000,diskutieren,23,0.023,23,0.023,1000,übertragung,13,0.013,13,0.013,1000,höhenflug,7,0.0128,7,0.0128,545,philippinen,12,0.012,12,0.012,1000,erobert,8,0.0233,8,0.0233,343,consigli,15,0.015,15,0.015,1000,torna,16,0.016,16,0.016,1000,detectado,19,0.019,19,0.019,1000,amplía,23,0.023,23,0.023,1000,saison,14,0.014,14,0.014,1000,moitié,13,0.013,13,0.013,1000
48,steigt,25,0.025,25,0.025,1000,rätseln,23,0.023,23,0.023,1000,gefährlicher,13,0.013,13,0.013,1000,klimakrise,7,0.0128,7,0.0128,545,soldaten,12,0.012,12,0.012,1000,hochsaison,8,0.0233,8,0.0233,343,morti,15,0.015,15,0.015,1000,bassetti,16,0.016,16,0.016,1000,aedes,19,0.019,19,0.019,1000,mallorca,22,0.022,22,0.022,1000,alpes,14,0.014,14,0.014,1000,paca,13,0.013,13,0.013,1000
49,legen,25,0.025,25,0.025,1000,etabliert,23,0.023,23,0.023,1000,gefährliches,13,0.013,13,0.013,1000,tschechien,6,0.011,6,0.011,545,maladies,12,0.012,12,0.012,1000,zecken,8,0.0233,8,0.0233,343,allerta,15,0.015,15,0.015,1000,positive,16,0.016,16,0.016,1000,alto,19,0.019,19,0.019,1000,campo,22,0.022,22,0.022,1000,l'oms,14,0.014,14,0.014,1000,restreint,13,0.013,13,0.013,1000
50,winter,25,0.025,25,0.025,1000,symptome,22,0.022,22,0.022,1000,corona,13,0.013,13,0.013,1000,zunehmend,6,0.011,6,0.011,545,vormarsch,11,0.011,11,0.011,1000,risiko,8,0.0233,8,0.0233,343,emergenza,14,0.014,14,0.014,1000,trasmette,15,0.015,15,0.015,1000,control,19,0.019,19,0.019,1000,acción,22,0.022,22,0.022,1000,savoir,14,0.014,14,0.014,1000,climatique,13,0.013,13,0.013,1000
51,eier,25,0.025,25,0.025,1000,intensivieren,21,0.021,21,0.021,1000,epidemie,13,0.013,13,0.013,1000,risiko,6,0.011,6,0.011,545,tropenkrankheit,11,0.011,11,0.011,1000,occidental,8,0.0233,8,0.0233,343,autoctoni,14,0.014,14,0.014,1000,piano,14,0.014,14,0.014,1000,trampas,19,0.019,19,0.019,1000,málaga,21,0.021,21,0.021,1000,piqûres,13,0.013,13,0.013,1000,unis,13,0.013,13,0.013,1000
